```csv
nutrient_identifier,life_stage_name,dri_type,value_numeric,value_string,unit,source_of_goal,criterion,footnote_marker,notes,source_document
P,"Children 4-8 years",EAR,405,,mg,EAR,"Factorial approach",,,IOM DRI Ca/VitD 2011 S-2
P,"Children 4-8 years",RDA,500,,mg,RDA,"Factorial approach",,,IOM DRI Ca/VitD 2011 S-2
P,"Children 9-13 years",EAR,1055,,mg,EAR,"Factorial approach",,,IOM DRI Ca/VitD 2011 S-2
P,"Children 9-13 years",RDA,1250,,mg,RDA,"Factorial approach",,,IOM DRI Ca/VitD 2011 S-2
P,"Adolescents 14-18 years",EAR,1055,,mg,EAR,"Factorial approach",,,IOM DRI Ca/VitD 2011 S-2
P,"Adolescents 14-18 years",RDA,1250,,mg,RDA,"Factorial approach",,,IOM DRI Ca/VitD 2011 S-2
P,"Adults 19-30 years",EAR,580,,mg,EAR,"Serum Pi",,,IOM DRI Ca/VitD 2011 S-2
P,"Adults 19-30 years",RDA,700,,mg,RDA,"Serum Pi",,,IOM DRI Ca/VitD 2011 S-2
P,"Adults 31-50 years",EAR,580,,mg,EAR,"Serum Pi",,,IOM DRI Ca/VitD 2011 S-2
P,"Adults 31-50 years",RDA,700,,mg,RDA,"Serum Pi",,,IOM DRI Ca/VitD 2011 S-2
P,"Adults 51-70 years",EAR,580,,mg,EAR,"Extrapolation of serum Pi from 19 through 50 years",,,IOM DRI Ca/VitD 2011 S-2
P,"Adults 51-70 years",RDA,700,,mg,RDA,"Extrapolation of serum Pi from 19 through 50 years",,,IOM DRI Ca/VitD 2011 S-2
P,"Adults >70 years",EAR,580,,mg,EAR,"Extrapolation of serum Pi from 19 through 50 years",,,IOM DRI Ca/VitD 2011 S-2
P,"Adults >70 years",RDA,700,,mg,RDA,"Extrapolation of serum Pi from 19 through 50 years",,,IOM DRI Ca/VitD 2011 S-2
P,"Pregnancy <=18 years",EAR,1055,,mg,EAR,"Factorial approach",,Same as non-pregnant,IOM DRI Ca/VitD 2011 S-2
P,"Pregnancy <=18 years",RDA,1250,,mg,RDA,"Factorial approach",,Same as non-pregnant,IOM DRI Ca/VitD 2011 S-2
P,"Pregnancy 19-50 years",EAR,580,,mg,EAR,"Serum Pi",,Same as non-pregnant,IOM DRI Ca/VitD 2011 S-2
P,"Pregnancy 19-50 years",RDA,700,,mg,RDA,"Serum Pi",,Same as non-pregnant,IOM DRI Ca/VitD 2011 S-2
P,"Lactation <=18 years",EAR,1055,,mg,EAR,"Factorial approach",,Same as non-lactating,IOM DRI Ca/VitD 2011 S-2
P,"Lactation <=18 years",RDA,1250,,mg,RDA,"Factorial approach",,Same as non-lactating,IOM DRI Ca/VitD 2011 S-2
P,"Lactation 19-50 years",EAR,580,,mg,EAR,"Serum Pi",,Same as non-lactating,IOM DRI Ca/VitD 2011 S-2
P,"Lactation 19-50 years",RDA,700,,mg,RDA,"Serum Pi",,Same as non-lactating,IOM DRI Ca/VitD 2011 S-2
MG,"Infants 0-6 months",AI,30,,mg,AI,"Human milk content",,,IOM DRI Ca/VitD 2011 S-3
MG,"Infants 7-12 months",AI,75,,mg,AI,"Human milk + solid food",,,IOM DRI Ca/VitD 2011 S-3
MG,"Children 1-3 years",EAR,65,,mg,EAR,"Extrapolation of balance from older children",,,IOM DRI Ca/VitD 2011 S-3
MG,"Children 1-3 years",RDA,80,,mg,RDA,"Extrapolation of balance from older children",,,IOM DRI Ca/VitD 2011 S-3
MG,"Children 4-8 years",EAR,110,,mg,EAR,"Extrapolation of balance from older children",,,IOM DRI Ca/VitD 2011 S-3
MG,"Children 4-8 years",RDA,130,,mg,RDA,"Extrapolation of balance from older children",,,IOM DRI Ca/VitD 2011 S-3
MG,"Children 9-13 years",EAR,200,,mg,EAR,"Balance studies",,,IOM DRI Ca/VitD 2011 S-3
MG,"Children 9-13 years",RDA,240,,mg,RDA,"Balance studies",,,IOM DRI Ca/VitD 2011 S-3
MG,"Males 14-18 years",EAR,340,,mg,EAR,"Balance studies",,,IOM DRI Ca/VitD 2011 S-3
MG,"Males 14-18 years",RDA,410,,mg,RDA,"Balance studies",,,IOM DRI Ca/VitD 2011 S-3
MG,"Females 14-18 years",EAR,300,,mg,EAR,"Balance studies",,,IOM DRI Ca/VitD 2011 S-3
MG,"Females 14-18 years",RDA,360,,mg,RDA,"Balance studies",,,IOM DRI Ca/VitD 2011 S-3
MG,"Males 19-30 years",EAR,330,,mg,EAR,"Balance studies",,,IOM DRI Ca/VitD 2011 S-3
MG,"Males 19-30 years",RDA,400,,mg,RDA,"Balance studies",,,IOM DRI Ca/VitD 2011 S-3
MG,"Females 19-30 years",EAR,255,,mg,EAR,"Balance studies",,,IOM DRI Ca/VitD 2011 S-3
MG,"Females 19-30 years",RDA,310,,mg,RDA,"Balance studies",,,IOM DRI Ca/VitD 2011 S-3
MG,"Males 31-50 years",EAR,350,,mg,EAR,"Balance studies",,,IOM DRI Ca/VitD 2011 S-3
MG,"Males 31-50 years",RDA,420,,mg,RDA,"Balance studies",,,IOM DRI Ca/VitD 2011 S-3
MG,"Females 31-50 years",EAR,265,,mg,EAR,"Balance studies",,,IOM DRI Ca/VitD 2011 S-3
MG,"Females 31-50 years",RDA,320,,mg,RDA,"Balance studies",,,IOM DRI Ca/VitD 2011 S-3
MG,"Males 51-70 years",EAR,350,,mg,EAR,"Balance studies",,,IOM DRI Ca/VitD 2011 S-3
MG,"Males 51-70 years",RDA,420,,mg,RDA,"Balance studies",,,IOM DRI Ca/VitD 2011 S-3
MG,"Females 51-70 years",EAR,265,,mg,EAR,"Balance studies",,,IOM DRI Ca/VitD 2011 S-3
MG,"Females 51-70 years",RDA,320,,mg,RDA,"Balance studies",,,IOM DRI Ca/VitD 2011 S-3
MG,"Males >70 years",EAR,350,,mg,EAR,"Intracellular studies; decreases in absorption",,,IOM DRI Ca/VitD 2011 S-3
MG,"Males >70 years",RDA,420,,mg,RDA,"Intracellular studies; decreases in absorption",,,IOM DRI Ca/VitD 2011 S-3
MG,"Females >70 years",EAR,265,,mg,EAR,"Intracellular studies; decreases in absorption",,,IOM DRI Ca/VitD 2011 S-3
MG,"Females >70 years",RDA,320,,mg,RDA,"Intracellular studies; decreases in absorption",,,IOM DRI Ca/VitD 2011 S-3
MG,"Pregnancy <=18 years",EAR,335,,mg,EAR,"Gain in lean mass",,,IOM DRI Ca/VitD 2011 S-3
MG,"Pregnancy <=18 years",RDA,400,,mg,RDA,"Gain in lean mass",,,IOM DRI Ca/VitD 2011 S-3
MG,"Pregnancy 19-30 years",EAR,290,,mg,EAR,"Gain in lean mass",,,IOM DRI Ca/VitD 2011 S-3
MG,"Pregnancy 19-30 years",RDA,350,,mg,RDA,"Gain in lean mass",,,IOM DRI Ca/VitD 2011 S-3
MG,"Pregnancy 31-50 years",EAR,300,,mg,EAR,"Gain in lean mass",,,IOM DRI Ca/VitD 2011 S-3
MG,"Pregnancy 31-50 years",RDA,360,,mg,RDA,"Gain in lean mass",,,IOM DRI Ca/VitD 2011 S-3
MG,"Lactation <=18 years",EAR,300,,mg,EAR,"Balance studies",,Same as non-lactating,IOM DRI Ca/VitD 2011 S-3
MG,"Lactation <=18 years",RDA,360,,mg,RDA,"Balance studies",,Same as non-lactating,IOM DRI Ca/VitD 2011 S-3
MG,"Lactation 19-30 years",EAR,255,,mg,EAR,"Balance studies",,Same as non-lactating,IOM DRI Ca/VitD 2011 S-3
MG,"Lactation 19-30 years",RDA,310,,mg,RDA,"Balance studies",,Same as non-lactating,IOM DRI Ca/VitD 2011 S-3
MG,"Lactation 31-50 years",EAR,265,,mg,EAR,"Balance studies",,Same as non-lactating,IOM DRI Ca/VitD 2011 S-3
MG,"Lactation 31-50 years",RDA,320,,mg,RDA,"Balance studies",,Same as non-lactating,IOM DRI Ca/VitD 2011 S-3
VITD_MCG,"Infants 0-6 months",AI,5,,mcg,AI,"Serum 25(OH)D",,In absence of adequate sunlight,IOM DRI Ca/VitD 2011 S-4
VITD_IU,"Infants 0-6 months",AI,200,,IU,AI,"Serum 25(OH)D",,In absence of adequate sunlight,IOM DRI Ca/VitD 2011 S-4
VITD_MCG,"Infants 7-12 months",AI,5,,mcg,AI,"Serum 25(OH)D",,In absence of adequate sunlight,IOM DRI Ca/VitD 2011 S-4
VITD_IU,"Infants 7-12 months",AI,200,,IU,AI,"Serum 25(OH)D",,In absence of adequate sunlight,IOM DRI Ca/VitD 2011 S-4
VITD_MCG,"Children 1-3 years",AI,5,,mcg,AI,"Serum 25(OH)D",,In absence of adequate sunlight,IOM DRI Ca/VitD 2011 S-4
VITD_IU,"Children 1-3 years",AI,200,,IU,AI,"Serum 25(OH)D",,In absence of adequate sunlight,IOM DRI Ca/VitD 2011 S-4
VITD_MCG,"Children 4-8 years",AI,5,,mcg,AI,"Serum 25(OH)D",,In absence of adequate sunlight,IOM DRI Ca/VitD 2011 S-4
VITD_IU,"Children 4-8 years",AI,200,,IU,AI,"Serum 25(OH)D",,In absence of adequate sunlight,IOM DRI Ca/VitD 2011 S-4
VITD_MCG,"Children 9-13 years",AI,5,,mcg,AI,"Serum 25(OH)D",,In absence of adequate sunlight,IOM DRI Ca/VitD 2011 S-4
VITD_IU,"Children 9-13 years",AI,200,,IU,AI,"Serum 25(OH)D",,In absence of adequate sunlight,IOM DRI Ca/VitD 2011 S-4
VITD_MCG,"Adolescents 14-18 years",AI,5,,mcg,AI,"Serum 25(OH)D",,In absence of adequate sunlight,IOM DRI Ca/VitD 2011 S-4
VITD_IU,"Adolescents 14-18 years",AI,200,,IU,AI,"Serum 25(OH)D",,In absence of adequate sunlight,IOM DRI Ca/VitD 2011 S-4
VITD_MCG,"Adults 19-30 years",AI,5,,mcg,AI,"Serum 25(OH)D",,In absence of adequate sunlight,IOM DRI Ca/VitD 2011 S-4
VITD_IU,"Adults 19-30 years",AI,200,,IU,AI,"Serum 25(OH)D",,In absence of adequate sunlight,IOM DRI Ca/VitD 2011 S-4
VITD_MCG,"Adults 31-50 years",AI,5,,mcg,AI,"Serum 25(OH)D",,In absence of adequate sunlight,IOM DRI Ca/VitD 2011 S-4
VITD_IU,"Adults 31-50 years",AI,200,,IU,AI,"Serum 25(OH)D",,In absence of adequate sunlight,IOM DRI Ca/VitD 2011 S-4
VITD_MCG,"Adults 51-70 years",AI,10,,mcg,AI,"Serum 25(OH)D",,In absence of adequate sunlight,IOM DRI Ca/VitD 2011 S-4
VITD_IU,"Adults 51-70 years",AI,400,,IU,AI,"Serum 25(OH)D",,In absence of adequate sunlight,IOM DRI Ca/VitD 2011 S-4
VITD_MCG,"Adults >70 years",AI,15,,mcg,AI,"Serum 25(OH)D",,In absence of adequate sunlight,IOM DRI Ca/VitD 2011 S-4
VITD_IU,"Adults >70 years",AI,600,,IU,AI,"Serum 25(OH)D",,In absence of adequate sunlight,IOM DRI Ca/VitD 2011 S-4
VITD_MCG,"Pregnancy <=18 years",AI,5,,mcg,AI,"Serum 25(OH)D",,In absence of adequate sunlight; Same as non-pregnant,IOM DRI Ca/VitD 2011 S-4
VITD_IU,"Pregnancy <=18 years",AI,200,,IU,AI,"Serum 25(OH)D",,In absence of adequate sunlight; Same as non-pregnant,IOM DRI Ca/VitD 2011 S-4
VITD_MCG,"Pregnancy 19-50 years",AI,5,,mcg,AI,"Serum 25(OH)D",,In absence of adequate sunlight; Same as non-pregnant,IOM DRI Ca/VitD 2011 S-4
VITD_IU,"Pregnancy 19-50 years",AI,200,,IU,AI,"Serum 25(OH)D",,In absence of adequate sunlight; Same as non-pregnant,IOM DRI Ca/VitD 2011 S-4
VITD_MCG,"Lactation <=18 years",AI,5,,mcg,AI,"Serum 25(OH)D",,In absence of adequate sunlight; Same as non-lactating,IOM DRI Ca/VitD 2011 S-4
VITD_IU,"Lactation <=18 years",AI,200,,IU,AI,"Serum 25(OH)D",,In absence of adequate sunlight; Same as non-lactating,IOM DRI Ca/VitD 2011 S-4
VITD_MCG,"Lactation 19-50 years",AI,5,,mcg,AI,"Serum 25(OH)D",,In absence of adequate sunlight; Same as non-lactating,IOM DRI Ca/VitD 2011 S-4
VITD_IU,"Lactation 19-50 years",AI,200,,IU,AI,"Serum 25(OH)D",,In absence of adequate sunlight; Same as non-lactating,IOM DRI Ca/VitD 2011 S-4
FL,"Infants 0-6 months",AI,0.01,,mg,AI,"Human milk content",,,IOM DRI Ca/VitD 2011 S-5
FL,"Infants 7-12 months",AI,0.5,,mg,AI,"Caries prevention",,,IOM DRI Ca/VitD 2011 S-5
FL,"Children 1-3 years",AI,0.7,,mg,AI,"Caries prevention",,,IOM DRI Ca/VitD 2011 S-5
FL,"Children 4-8 years",AI,1,,mg,AI,"Caries prevention",,,IOM DRI Ca/VitD 2011 S-5
FL,"Children 9-13 years",AI,2,,mg,AI,"Caries prevention",,,IOM DRI Ca/VitD 2011 S-5
FL,"Males 14-18 years",AI,3,,mg,AI,"Caries prevention",,,IOM DRI Ca/VitD 2011 S-5
FL,"Females 14-18 years",AI,3,,mg,AI,"Caries prevention",,,IOM DRI Ca/VitD 2011 S-5
FL,"Males 19-70 years",AI,4,,mg,AI,"Caries prevention",,,IOM DRI Ca/VitD 2011 S-5
FL,"Females 19-70 years",AI,3,,mg,AI,"Caries prevention",,,IOM DRI Ca/VitD 2011 S-5
FL,"Males >70 years",AI,4,,mg,AI,"Caries prevention",,,IOM DRI Ca/VitD 2011 S-5
FL,"Females >70 years",AI,3,,mg,AI,"Caries prevention",,,IOM DRI Ca/VitD 2011 S-5
FL,"Pregnancy <=18 years",AI,3,,mg,AI,"Caries prevention",,Same as non-pregnant,IOM DRI Ca/VitD 2011 S-5
FL,"Pregnancy 19-50 years",AI,3,,mg,AI,"Caries prevention",,Same as non-pregnant,IOM DRI Ca/VitD 2011 S-5
FL,"Lactation <=18 years",AI,3,,mg,AI,"Caries prevention",,Same as non-lactating,IOM DRI Ca/VitD 2011 S-5
FL,"Lactation 19-50 years",AI,3,,mg,AI,"Caries prevention",,Same as non-lactating,IOM DRI Ca/VitD 2011 S-5
CA,"Infants 0-6 months",UL,,,g,UL,,d,"ND. Not determinable due to lack of data of adverse effects in this age group and concern with regard to lack of ability to handle excess amounts. Source of intake should be from food only in order to prevent high levels of intake.",IOM DRI Ca/VitD 2011 S-6
CA,"Infants 7-12 months",UL,,,g,UL,,d,"ND. Not determinable due to lack of data of adverse effects in this age group and concern with regard to lack of ability to handle excess amounts. Source of intake should be from food only in order to prevent high levels of intake.",IOM DRI Ca/VitD 2011 S-6
CA,"Children 1-3 years",UL,2.5,,g,UL,,,IOM DRI Ca/VitD 2011 S-6
CA,"Children 4-8 years",UL,2.5,,g,UL,,,IOM DRI Ca/VitD 2011 S-6
CA,"Adolescents 9-18 years",UL,2.5,,g,UL,,,IOM DRI Ca/VitD 2011 S-6
CA,"Adults 19-70 years",UL,2.5,,g,UL,,,IOM DRI Ca/VitD 2011 S-6
CA,"Adults >70 years",UL,2.5,,g,UL,,,IOM DRI Ca/VitD 2011 S-6
CA,"Pregnancy <=18 years",UL,2.5,,g,UL,,,IOM DRI Ca/VitD 2011 S-6
CA,"Pregnancy 19-50 years",UL,2.5,,g,UL,,,IOM DRI Ca/VitD 2011 S-6
CA,"Lactation <=18 years",UL,2.5,,g,UL,,,IOM DRI Ca/VitD 2011 S-6
CA,"Lactation 19-50 years",UL,2.5,,g,UL,,,IOM DRI Ca/VitD 2011 S-6
P,"Infants 0-6 months",UL,,,g,UL,,d,"ND. Not determinable due to lack of data of adverse effects in this age group and concern with regard to lack of ability to handle excess amounts. Source of intake should be from food only in order to prevent high levels of intake.",IOM DRI Ca/VitD 2011 S-6
P,"Infants 7-12 months",UL,,,g,UL,,d,"ND. Not determinable due to lack of data of adverse effects in this age group and concern with regard to lack of ability to handle excess amounts. Source of intake should be from food only in order to prevent high levels of intake.",IOM DRI Ca/VitD 2011 S-6
P,"Children 1-3 years",UL,3,,g,UL,,,IOM DRI Ca/VitD 2011 S-6
P,"Children 4-8 years",UL,3,,g,UL,,,IOM DRI Ca/VitD 2011 S-6
P,"Adolescents 9-18 years",UL,4,,g,UL,,,IOM DRI Ca/VitD 2011 S-6
P,"Adults 19-70 years",UL,4,,g,UL,,,IOM DRI Ca/VitD 2011 S-6
P,"Adults >70 years",UL,3,,g,UL,,,IOM DRI Ca/VitD 2011 S-6
P,"Pregnancy <=18 years",UL,3.5,,g,UL,,,IOM DRI Ca/VitD 2011 S-6
P,"Pregnancy 19-50 years",UL,3.5,,g,UL,,,IOM DRI Ca/VitD 2011 S-6
P,"Lactation <=18 years",UL,4,,g,UL,,,IOM DRI Ca/VitD 2011 S-6
P,"Lactation 19-50 years",UL,4,,g,UL,,,IOM DRI Ca/VitD 2011 S-6
MG,"Infants 0-6 months",UL,,,mg,UL,,d,"ND. Not determinable due to lack of data of adverse effects in this age group and concern with regard to lack of ability to handle excess amounts. Source of intake should be from food only in order to prevent high levels of intake.",IOM DRI Ca/VitD 2011 S-6
MG,"Infants 7-12 months",UL,,,mg,UL,,d,"ND. Not determinable due to lack of data of adverse effects in this age group and concern with regard to lack of ability to handle excess amounts. Source of intake should be from food only in order to prevent high levels of intake.",IOM DRI Ca/VitD 2011 S-6
MG,"Children 1-3 years",UL,65,,mg,UL,,,"Pharmacological agents only",IOM DRI Ca/VitD 2011 S-6
MG,"Children 4-8 years",UL,110,,mg,UL,,,"Pharmacological agents only",IOM DRI Ca/VitD 2011 S-6
MG,"Adolescents 9-18 years",UL,350,,mg,UL,,,"Pharmacological agents only",IOM DRI Ca/VitD 2011 S-6
MG,"Adults >=19 years",UL,350,,mg,UL,,,"Pharmacological agents only",IOM DRI Ca/VitD 2011 S-6
MG,"Pregnancy <=18 years",UL,350,,mg,UL,,,"Pharmacological agents only",IOM DRI Ca/VitD 2011 S-6
MG,"Pregnancy 19-50 years",UL,350,,mg,UL,,,"Pharmacological agents only",IOM DRI Ca/VitD 2011 S-6
MG,"Lactation <=18 years",UL,350,,mg,UL,,,"Pharmacological agents only",IOM DRI Ca/VitD 2011 S-6
MG,"Lactation 19-50 years",UL,350,,mg,UL,,,"Pharmacological agents only",IOM DRI Ca/VitD 2011 S-6
VITD_MCG,"Infants 0-6 months",UL,25,,mcg,UL,,,IOM DRI Ca/VitD 2011 S-6
VITD_IU,"Infants 0-6 months",UL,1000,,IU,UL,,,IOM DRI Ca/VitD 2011 S-6
VITD_MCG,"Infants 7-12 months",UL,25,,mcg,UL,,,IOM DRI Ca/VitD 2011 S-6
VITD_IU,"Infants 7-12 months",UL,1000,,IU,UL,,,IOM DRI Ca/VitD 2011 S-6
VITD_MCG,"Children 1-3 years",UL,50,,mcg,UL,,,IOM DRI Ca/VitD 2011 S-6
VITD_IU,"Children 1-3 years",UL,2000,,IU,UL,,,IOM DRI Ca/VitD 2011 S-6
VITD_MCG,"Children 4-8 years",UL,50,,mcg,UL,,,IOM DRI Ca/VitD 2011 S-6
VITD_IU,"Children 4-8 years",UL,2000,,IU,UL,,,IOM DRI Ca/VitD 2011 S-6
VITD_MCG,"Adolescents 9-18 years",UL,50,,mcg,UL,,,IOM DRI Ca/VitD 2011 S-6
VITD_IU,"Adolescents 9-18 years",UL,2000,,IU,UL,,,IOM DRI Ca/VitD 2011 S-6
VITD_MCG,"Adults >=19 years",UL,50,,mcg,UL,,,IOM DRI Ca/VitD 2011 S-6
VITD_IU,"Adults >=19 years",UL,2000,,IU,UL,,,IOM DRI Ca/VitD 2011 S-6
VITD_MCG,"Pregnancy <=18 years",UL,50,,mcg,UL,,,IOM DRI Ca/VitD 2011 S-6
VITD_IU,"Pregnancy <=18 years",UL,2000,,IU,UL,,,IOM DRI Ca/VitD 2011 S-6
VITD_MCG,"Pregnancy 19-50 years",UL,50,,mcg,UL,,,IOM DRI Ca/VitD 2011 S-6
VITD_IU,"Pregnancy 19-50 years",UL,2000,,IU,UL,,,IOM DRI Ca/VitD 2011 S-6
VITD_MCG,"Lactation <=18 years",UL,50,,mcg,UL,,,IOM DRI Ca/VitD 2011 S-6
VITD_IU,"Lactation <=18 years",UL,2000,,IU,UL,,,IOM DRI Ca/VitD 2011 S-6
VITD_MCG,"Lactation 19-50 years",UL,50,,mcg,UL,,,IOM DRI Ca/VitD 2011 S-6
VITD_IU,"Lactation 19-50 years",UL,2000,,IU,UL,,,IOM DRI Ca/VitD 2011 S-6
FL,"Infants 0-6 months",UL,0.7,,mg,UL,,,IOM DRI Ca/VitD 2011 S-6
FL,"Infants 7-12 months",UL,0.9,,mg,UL,,,IOM DRI Ca/VitD 2011 S-6
FL,"Children 1-3 years",UL,1.3,,mg,UL,,,IOM DRI Ca/VitD 2011 S-6
FL,"Children 4-8 years",UL,2.2,,mg,UL,,,IOM DRI Ca/VitD 2011 S-6
FL,"Adolescents 9-18 years",UL,10,,mg,UL,,,IOM DRI Ca/VitD 2011 S-6
FL,"Adults >=19 years",UL,10,,mg,UL,,,IOM DRI Ca/VitD 2011 S-6
FL,"Pregnancy <=18 years",UL,10,,mg,UL,,,IOM DRI Ca/VitD 2011 S-6
FL,"Pregnancy 19-50 years",UL,10,,mg,UL,,,IOM DRI Ca/VitD 2011 S-6
FL,"Lactation <=18 years",UL,10,,mg,UL,,,IOM DRI Ca/VitD 2011 S-6
FL,"Lactation 19-50 years",UL,10,,mg,UL,,,IOM DRI Ca/VitD 2011 S-6
WATER,"Infants 0-6 months",AI,0.7,,L,AI,"Average consumption of water from human milk",,Total Water,IOM DRI Water/Elec 2005 S-2
WATER,"Infants 7-12 months",AI,0.8,,L,AI,"Average consumption of water from human milk and complementary foods",,Total Water,IOM DRI Water/Elec 2005 S-2
WATER,"Children 1-3 years",AI,1.3,,L,AI,"Median total water intake from NHANES III",,Total Water,IOM DRI Water/Elec 2005 S-2
WATER,"Children 4-8 years",AI,1.7,,L,AI,"Median total water intake from NHANES III",,Total Water,IOM DRI Water/Elec 2005 S-2
WATER,"Males 9-13 years",AI,2.4,,L,AI,"Median total water intake from NHANES III",,Total Water,IOM DRI Water/Elec 2005 S-2
WATER,"Females 9-13 years",AI,2.1,,L,AI,"Median total water intake from NHANES III",,Total Water,IOM DRI Water/Elec 2005 S-2
WATER,"Males 14-18 years",AI,3.3,,L,AI,"Median total water intake from NHANES III",,Total Water,IOM DRI Water/Elec 2005 S-2
WATER,"Females 14-18 years",AI,2.3,,L,AI,"Median total water intake from NHANES III",,Total Water,IOM DRI Water/Elec 2005 S-2
WATER,"Males >19 years",AI,3.7,,L,AI,"Median total water intake from NHANES III",,Total Water,IOM DRI Water/Elec 2005 S-2
WATER,"Females >19 years",AI,2.7,,L,AI,"Median total water intake from NHANES III",,Total Water,IOM DRI Water/Elec 2005 S-2
WATER,"Pregnancy 14-50 years",AI,3.0,,L,AI,"Same as median intake for nonpregnant women from NHANES III",,Total Water,IOM DRI Water/Elec 2005 S-2
WATER,"Lactation 14-50 years",AI,3.8,,L,AI,"Same as median intake for nonlactating women from NHANES III",,Total Water,IOM DRI Water/Elec 2005 S-2
K,"Infants 0-6 months",AI,0.4,,g,AI,"Average consumption of potassium from human milk",,,IOM DRI Water/Elec 2005 S-3
K,"Infants 7-12 months",AI,0.7,,g,AI,"Average consumption of potassium from human milk and complementary foods",,,IOM DRI Water/Elec 2005 S-3
K,"Children 1-3 years",AI,3.0,,g,AI,"Extrapolation of adult AI based on energy intake",,,IOM DRI Water/Elec 2005 S-3
K,"Children 4-8 years",AI,3.8,,g,AI,"Extrapolation of adult AI based on energy intake",,,IOM DRI Water/Elec 2005 S-3
K,"Children 9-13 years",AI,4.5,,g,AI,"Extrapolation of adult AI based on energy intake",,,IOM DRI Water/Elec 2005 S-3
K,"Adolescents 14-18 years",AI,4.7,,g,AI,"Extrapolation of adult AI based on energy intake",,,IOM DRI Water/Elec 2005 S-3
K,"Adults >18 years",AI,4.7,,g,AI,"Intake level to lower blood pressure, reduce salt sensitivity, minimize kidney stone risk",,,IOM DRI Water/Elec 2005 S-3
K,"Pregnancy 14-50 years",AI,4.7,,g,AI,"Intake level to lower blood pressure... in nonpregnant adults",,Same as non-pregnant,IOM DRI Water/Elec 2005 S-3
K,"Lactation 14-50 years",AI,5.1,,g,AI,"Intake level... in nonlactating adults plus average amount in breast milk (0.4 g/d)",,,IOM DRI Water/Elec 2005 S-3
NA,"Infants 0-6 months",AI,0.12,,g,AI,"Average consumption of sodium from human milk",,,IOM DRI Water/Elec 2005 S-4
NA,"Infants 7-12 months",AI,0.37,,g,AI,"Average consumption of sodium from human milk and complementary foods",,,IOM DRI Water/Elec 2005 S-4
NA,"Children 1-3 years",AI,1.0,,g,AI,"Extrapolation of adult AI based on energy intake",,,IOM DRI Water/Elec 2005 S-4
NA,"Children 4-8 years",AI,1.2,,g,AI,"Extrapolation of adult AI based on energy intake",,,IOM DRI Water/Elec 2005 S-4
NA,"Children 9-13 years",AI,1.5,,g,AI,"Extrapolation of adult AI based on energy intake",,,IOM DRI Water/Elec 2005 S-4
NA,"Adolescents 14-18 years",AI,1.5,,g,AI,"Extrapolation of adult AI based on energy intake",,,IOM DRI Water/Elec 2005 S-4
NA,"Adults 19-50 years",AI,1.5,,g,AI,"Intake level to cover losses, provide adequate intakes, maintain normal function",,,IOM DRI Water/Elec 2005 S-4
NA,"Adults 51-70 years",AI,1.3,,g,AI,"Extrapolated from younger adults based on energy intake",,,IOM DRI Water/Elec 2005 S-4
NA,"Adults >70 years",AI,1.2,,g,AI,"Extrapolated from younger adults based on energy intake",,,IOM DRI Water/Elec 2005 S-4
NA,"Pregnancy 14-50 years",AI,1.5,,g,AI,"Same as for nonpregnant women",,,IOM DRI Water/Elec 2005 S-4
NA,"Lactation 14-50 years",AI,1.5,,g,AI,"Same as for nonlactating women",,,IOM DRI Water/Elec 2005 S-4
NA,"Infants 0-12 months",UL,,,g,UL,,d,"ND. Not determined. Intake should be from food or formula only.",IOM DRI Water/Elec 2005 S-4
NA,"Children 1-3 years",UL,1.5,,g,UL,"Prevention of increased blood pressure",,,IOM DRI Water/Elec 2005 S-4
NA,"Children 4-8 years",UL,1.9,,g,UL,"Prevention of increased blood pressure",,,IOM DRI Water/Elec 2005 S-4
NA,"Children 9-13 years",UL,2.2,,g,UL,"Prevention of increased blood pressure",,,IOM DRI Water/Elec 2005 S-4
NA,"Adolescents 14-18 years",UL,2.3,,g,UL,"Prevention of increased blood pressure",,,IOM DRI Water/Elec 2005 S-4
NA,"Adults >=19 years",UL,2.3,,g,UL,"Prevention of increased blood pressure",,,IOM DRI Water/Elec 2005 S-4
NA,"Pregnancy 14-50 years",UL,2.3,,g,UL,"Prevention of increased blood pressure",,Same as non-pregnant,IOM DRI Water/Elec 2005 S-4
NA,"Lactation 14-50 years",UL,2.3,,g,UL,"Prevention of increased blood pressure",,Same as non-lactating,IOM DRI Water/Elec 2005 S-4
CL,"Infants 0-6 months",AI,0.18,,g,AI,"Molar basis equal to sodium AI",,,IOM DRI Water/Elec 2005 S-4
CL,"Infants 7-12 months",AI,0.57,,g,AI,"Molar basis equal to sodium AI",,,IOM DRI Water/Elec 2005 S-4
CL,"Children 1-3 years",AI,1.5,,g,AI,"Molar basis equal to sodium AI",,,IOM DRI Water/Elec 2005 S-4
CL,"Children 4-8 years",AI,1.9,,g,AI,"Molar basis equal to sodium AI",,,IOM DRI Water/Elec 2005 S-4
CL,"Children 9-13 years",AI,2.3,,g,AI,"Molar basis equal to sodium AI",,,IOM DRI Water/Elec 2005 S-4
CL,"Adolescents 14-18 years",AI,2.3,,g,AI,"Molar basis equal to sodium AI",,,IOM DRI Water/Elec 2005 S-4
CL,"Adults 19-50 years",AI,2.3,,g,AI,"Molar basis equal to sodium AI",,,IOM DRI Water/Elec 2005 S-4
CL,"Adults 51-70 years",AI,2.0,,g,AI,"Molar basis equal to sodium AI",,,IOM DRI Water/Elec 2005 S-4
